ProductName,Brand,Price,Processor,RAM,VGA,Storage,Display
HP Elitebook 840 G3,HP,$359 ,Intel Core i7,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
𝐌𝐒𝐈 Thin GF63 11SC,MSI,$729 ,Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
𝐃𝐄𝐋𝐋 𝐆𝟓 𝟓𝟓𝟎𝟓 𝐆𝐚𝐦𝐢𝐧𝐠,Dell,$799 ,AMD Ryzen 7,16GB,6GB,500GB - 512GB,"15"" - 15.9"""
Hp ProBook 430 G3 98% ជាពិសេសមានHard disk 2គ្រាប់ម៉ាសុីនដើរលឿន,HP,$245 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo Think Pad E570C   ,Lenovo,$270 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Inspiron 14-3467 98%,Dell,$290 ,Intel Core i3,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
Lenovo Think Pad L540 98%,Lenovo,$215 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E570,Lenovo,$330 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Fujitsu FMVA 1600J មានតម្លៃ​$190​ ដែលមានSSD 256GB ដើរលឿន,Fujitsu,$190 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus Laptop E510M  New Black,Asus,$345 ,Intel Celeron,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Dell Latitude E6440  98%,Dell,$260 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenove G50-80​ 98%,Lenovo,$200 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
អីវ៉ាន់ទើបនឹងចូលស្តុកមកក្តៅៗ Office ឡូតូនឹងសាលារៀន65$ 75$​​ មានតម្លៃបោះដុំ,Other - ផ្សេងៗ,$65 ,Intel Celeron,2GB & Under,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ideapad 310S-14AST,Lenovo,$285 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3440 98%,Dell,$200 ,Intel Core i5,3GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Dell Inspiron 3476 98%,Dell,$375 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp ProBook 430 G3 98%​  ​មានតម្លៃពិសេស,HP,$245 ,Intel Core i3,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude E5430 98%,Dell,$165 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Asus VivoBook X542.3,Asus,$280 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E520 98%,Itronix,$180 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell latitude 7290 98%,Dell,$225 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"12"" - 12.9"""
Lenovo Think Pad E550 98%,Lenovo,$275 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3570,Dell,$320 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Hp ProBook 450 G3 98%,HP,$220 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus X540UP 98%,Asus,$355 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp Pro Book 430 G2 99%,HP,$245 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"13"" - 13.9"""
Lenovo ThinkPad E431 98%   ,Lenovo,$200 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenovo T470S Secondhand USA 99%,Lenovo,$380 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"14"" - 14.9"""
ស្អាត តម្លៃល្អ ធានាគុណភាព,Fujitsu,$175 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"15"" - 15.9"""
MacBook Air 13” 2019/Core i5/8GB/128GB,Apple,$544 ,Intel Core i5,8GB,Integrated,128GB & Under,"13"" - 13.9"""
លក់ MacBook 2010,Apple,$150 ,Intel Core 2,4GB,4GB,250GB - 256GB,"13"" - 13.9"""
​ Microsoft surface Laptop Core i5 6th (Promotion),Microsoft,$485 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"10.9"" & Under"
Model Lenovo V14 14”,Lenovo,$289 ,Other,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X260 6th RAM 4GB SSD 128GB,Lenovo,$275 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro 15.4” inch Late 2018 Touch Bar 99% ,Apple,"$1,250 ",Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Dell Latitude E5440 Core i5 RAM 8GB SSD 256GB,Dell,$195 ,Intel Core i5,8GB,4GB,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X230 (3rd Generation) Grade A ,Lenovo,$135 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
HP EliteBook 820 G2 (5th Generation) 8GB 256GB i5,HP,$215 ,Intel Core i5,8GB,4GB,250GB - 256GB,"12"" - 12.9"""
Dell Latitude 7390 2 in 1 99%  Touchscreen 13.3”inch FHD,Dell,$455 ,Intel Core i7,16GB,4GB,250GB - 256GB,"13"" - 13.9"""
លក់កុំព្យូទ័រ laptop ផ្ទាល់ខ្លួន,Dell,$360 ,Intel Core i5,8GB,2GB & Under,1TB,"14"" - 14.9"""
MacBook Pro 15inch 2019 CPU core i9 99% Radeon Pro 560X 4 GB,Apple,$980 ,Intel Core i9,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Asus X415MA 14”FHD 1080,Asus,$299 ,Intel Celeron,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
Dell Latitude E5480 14”,Dell,$299 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"14"" - 14.9"""
"Dell Latitude E6520$E6420 14”,15.6”",Dell,$175 ,Intel Core i5,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
MacBook 2017 i7 $700,Apple,$700 ,Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
ឥវ៉ាន់នៅស្អាតលក់ប្រញាប់លុយ,Acer,$125 ,Intel Celeron,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro ថ្មីថ្មោង,Apple,$490 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"15"" - 15.9"""
Dell,Dell,$390 ,Intel Core i7,8GB,Integrated,250GB - 256GB,"13"" - 13.9"""
Asus TUF FA506IH Ryzen 5 GTX 1650 New in Box,Asus,$569 ,AMD Ryzen 5,8GB,4GB,500GB - 512GB,"15"" - 15.9"""
DELL Latitude E7470 i7 gen6,Dell,$250 ,Intel Core i7,8GB,Integrated,250GB - 256GB,"14"" - 14.9"""
𝐌𝐒𝐈 Thin GF63 11SC,MSI,$729 ,Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
𝐃𝐄𝐋𝐋 𝐆𝟓 𝟓𝟓𝟎𝟓 𝐆𝐚𝐦𝐢𝐧𝐠,Dell,$799 ,AMD Ryzen 7,16GB,6GB,500GB - 512GB,"15"" - 15.9"""
Hp ProBook 430 G3 98% ជាពិសេសមានHard disk 2គ្រាប់ម៉ាសុីនដើរលឿន,HP,$245 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo Think Pad E570C   ,Lenovo,$270 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Inspiron 14-3467 98%,Dell,$290 ,Intel Core i3,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
Lenovo Think Pad L540 98%,Lenovo,$215 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E570,Lenovo,$330 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Fujitsu FMVA 1600J មានតម្លៃ​$190​ ដែលមានSSD 256GB ដើរលឿន,Fujitsu,$190 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus Laptop E510M  New Black,Asus,$345 ,Intel Celeron,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Dell Latitude E6440  98%,Dell,$260 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenove G50-80​ 98%,Lenovo,$200 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
អីវ៉ាន់ទើបនឹងចូលស្តុកមកក្តៅៗ Office ឡូតូនឹងសាលារៀន65$ 75$​​ មានតម្លៃបោះដុំ,Other - ផ្សេងៗ,$65 ,Intel Celeron,2GB & Under,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ideapad 310S-14AST,Lenovo,$285 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3440 98%,Dell,$200 ,Intel Core i5,3GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Dell Inspiron 3476 98%,Dell,$375 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp ProBook 430 G3 98%​  ​មានតម្លៃពិសេស,HP,$245 ,Intel Core i3,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude E5430 98%,Dell,$165 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Asus VivoBook X542.3,Asus,$280 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E520 98%,Itronix,$180 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell latitude 7290 98%,Dell,$225 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"12"" - 12.9"""
Lenovo Think Pad E550 98%,Lenovo,$275 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3570,Dell,$320 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Hp ProBook 450 G3 98%,HP,$220 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus X540UP 98%,Asus,$355 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp Pro Book 430 G2 99%,HP,$245 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"13"" - 13.9"""
Lenovo ThinkPad E431 98%   ,Lenovo,$200 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenovo T470S Secondhand USA 99%,Lenovo,$380 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"14"" - 14.9"""
ស្អាត តម្លៃល្អ ធានាគុណភាព,Fujitsu,$175 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"15"" - 15.9"""
MacBook Air 13” 2019/Core i5/8GB/128GB,Apple,$544 ,Intel Core i5,8GB,Integrated,128GB & Under,"13"" - 13.9"""
លក់ MacBook 2010,Apple,$150 ,Intel Core 2,4GB,4GB,250GB - 256GB,"13"" - 13.9"""
​ Microsoft surface Laptop Core i5 6th (Promotion),Microsoft,$485 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"10.9"" & Under"
Model Lenovo V14 14”,Lenovo,$289 ,Other,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X260 6th RAM 4GB SSD 128GB,Lenovo,$275 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro 15.4” inch Late 2018 Touch Bar 99% ,Apple,"$1,250 ",Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Dell Latitude E5440 Core i5 RAM 8GB SSD 256GB,Dell,$195 ,Intel Core i5,8GB,4GB,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X230 (3rd Generation) Grade A ,Lenovo,$135 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
HP EliteBook 820 G2 (5th Generation) 8GB 256GB i5,HP,$215 ,Intel Core i5,8GB,4GB,250GB - 256GB,"12"" - 12.9"""
Dell Latitude 7390 2 in 1 99%  Touchscreen 13.3”inch FHD,Dell,$455 ,Intel Core i7,16GB,4GB,250GB - 256GB,"13"" - 13.9"""
លក់កុំព្យូទ័រ laptop ផ្ទាល់ខ្លួន,Dell,$360 ,Intel Core i5,8GB,2GB & Under,1TB,"14"" - 14.9"""
MacBook Pro 15inch 2019 CPU core i9 99% Radeon Pro 560X 4 GB,Apple,$980 ,Intel Core i9,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Asus X415MA 14”FHD 1080,Asus,$299 ,Intel Celeron,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
Dell Latitude E5480 14”,Dell,$299 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"14"" - 14.9"""
"Dell Latitude E6520$E6420 14”,15.6”",Dell,$175 ,Intel Core i5,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
MacBook 2017 i7 $700,Apple,$700 ,Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
ឥវ៉ាន់នៅស្អាតលក់ប្រញាប់លុយ,Acer,$125 ,Intel Celeron,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro ថ្មីថ្មោង,Apple,$490 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"15"" - 15.9"""
Dell,Dell,$390 ,Intel Core i7,8GB,Integrated,250GB - 256GB,"13"" - 13.9"""
Asus TUF FA506IH Ryzen 5 GTX 1650 New in Box,Asus,$569 ,AMD Ryzen 5,8GB,4GB,500GB - 512GB,"15"" - 15.9"""
DELL Latitude E7470 i7 gen6,Dell,$250 ,Intel Core i7,8GB,Integrated,250GB - 256GB,"14"" - 14.9"""
Lenovo 110,Lenovo,$265 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
𝐌𝐒𝐈 Thin GF63 11SC,MSI,$729 ,Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
𝐃𝐄𝐋𝐋 𝐆𝟓 𝟓𝟓𝟎𝟓 𝐆𝐚𝐦𝐢𝐧𝐠,Dell,$799 ,AMD Ryzen 7,16GB,6GB,500GB - 512GB,"15"" - 15.9"""
Hp ProBook 430 G3 98% ជាពិសេសមានHard disk 2គ្រាប់ម៉ាសុីនដើរលឿន,HP,$245 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo Think Pad E570C   ,Lenovo,$270 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Inspiron 14-3467 98%,Dell,$290 ,Intel Core i3,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
Lenovo Think Pad L540 98%,Lenovo,$215 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E570,Lenovo,$330 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Fujitsu FMVA 1600J មានតម្លៃ​$190​ ដែលមានSSD 256GB ដើរលឿន,Fujitsu,$190 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus Laptop E510M  New Black,Asus,$345 ,Intel Celeron,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Dell Latitude E6440  98%,Dell,$260 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenove G50-80​ 98%,Lenovo,$200 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
អីវ៉ាន់ទើបនឹងចូលស្តុកមកក្តៅៗ Office ឡូតូនឹងសាលារៀន65$ 75$​​ មានតម្លៃបោះដុំ,Other - ផ្សេងៗ,$65 ,Intel Celeron,2GB & Under,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ideapad 310S-14AST,Lenovo,$285 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3440 98%,Dell,$200 ,Intel Core i5,3GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Dell Inspiron 3476 98%,Dell,$375 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp ProBook 430 G3 98%​  ​មានតម្លៃពិសេស,HP,$245 ,Intel Core i3,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude E5430 98%,Dell,$165 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Asus VivoBook X542.3,Asus,$280 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E520 98%,Itronix,$180 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell latitude 7290 98%,Dell,$225 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"12"" - 12.9"""
Lenovo Think Pad E550 98%,Lenovo,$275 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3570,Dell,$320 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Hp ProBook 450 G3 98%,HP,$220 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus X540UP 98%,Asus,$355 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp Pro Book 430 G2 99%,HP,$245 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"13"" - 13.9"""
Lenovo ThinkPad E431 98%   ,Lenovo,$200 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenovo T470S Secondhand USA 99%,Lenovo,$380 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"14"" - 14.9"""
ស្អាត តម្លៃល្អ ធានាគុណភាព,Fujitsu,$175 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"15"" - 15.9"""
MacBook Air 13” 2019/Core i5/8GB/128GB,Apple,$544 ,Intel Core i5,8GB,Integrated,128GB & Under,"13"" - 13.9"""
លក់ MacBook 2010,Apple,$150 ,Intel Core 2,4GB,4GB,250GB - 256GB,"13"" - 13.9"""
​ Microsoft surface Laptop Core i5 6th (Promotion),Microsoft,$485 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"10.9"" & Under"
Model Lenovo V14 14”,Lenovo,$289 ,Other,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X260 6th RAM 4GB SSD 128GB,Lenovo,$275 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro 15.4” inch Late 2018 Touch Bar 99% ,Apple,"$1,250 ",Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Dell Latitude E5440 Core i5 RAM 8GB SSD 256GB,Dell,$195 ,Intel Core i5,8GB,4GB,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X230 (3rd Generation) Grade A ,Lenovo,$135 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
HP EliteBook 820 G2 (5th Generation) 8GB 256GB i5,HP,$215 ,Intel Core i5,8GB,4GB,250GB - 256GB,"12"" - 12.9"""
Dell Latitude 7390 2 in 1 99%  Touchscreen 13.3”inch FHD,Dell,$455 ,Intel Core i7,16GB,4GB,250GB - 256GB,"13"" - 13.9"""
លក់កុំព្យូទ័រ laptop ផ្ទាល់ខ្លួន,Dell,$360 ,Intel Core i5,8GB,2GB & Under,1TB,"14"" - 14.9"""
MacBook Pro 15inch 2019 CPU core i9 99% Radeon Pro 560X 4 GB,Apple,$980 ,Intel Core i9,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Asus X415MA 14”FHD 1080,Asus,$299 ,Intel Celeron,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
Dell Latitude E5480 14”,Dell,$299 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"14"" - 14.9"""
"Dell Latitude E6520$E6420 14”,15.6”",Dell,$175 ,Intel Core i5,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
MacBook 2017 i7 $700,Apple,$700 ,Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
ឥវ៉ាន់នៅស្អាតលក់ប្រញាប់លុយ,Acer,$125 ,Intel Celeron,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro ថ្មីថ្មោង,Apple,$490 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"15"" - 15.9"""
Dell,Dell,$390 ,Intel Core i7,8GB,Integrated,250GB - 256GB,"13"" - 13.9"""
Asus TUF FA506IH Ryzen 5 GTX 1650 New in Box,Asus,$569 ,AMD Ryzen 5,8GB,4GB,500GB - 512GB,"15"" - 15.9"""
DELL Latitude E7470 i7 gen6,Dell,$250 ,Intel Core i7,8GB,Integrated,250GB - 256GB,"14"" - 14.9"""
Lenovo 110,Lenovo,$265 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
𝐃𝐄𝐋𝐋 𝐆𝟓 𝟓𝟓𝟎𝟓 𝐆𝐚𝐦𝐢𝐧𝐠,Dell,$799 ,AMD Ryzen 7,16GB,6GB,500GB - 512GB,"15"" - 15.9"""
Hp ProBook 430 G3 98% ជាពិសេសមានHard disk 2គ្រាប់ម៉ាសុីនដើរលឿន,HP,$245 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo Think Pad E570C   ,Lenovo,$270 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Inspiron 14-3467 98%,Dell,$290 ,Intel Core i3,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
Lenovo Think Pad L540 98%,Lenovo,$215 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E570,Lenovo,$330 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Fujitsu FMVA 1600J មានតម្លៃ​$190​ ដែលមានSSD 256GB ដើរលឿន,Fujitsu,$190 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus Laptop E510M  New Black,Asus,$345 ,Intel Celeron,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Dell Latitude E6440  98%,Dell,$260 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenove G50-80​ 98%,Lenovo,$200 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
អីវ៉ាន់ទើបនឹងចូលស្តុកមកក្តៅៗ Office ឡូតូនឹងសាលារៀន65$ 75$​​ មានតម្លៃបោះដុំ,Other - ផ្សេងៗ,$65 ,Intel Celeron,2GB & Under,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ideapad 310S-14AST,Lenovo,$285 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3440 98%,Dell,$200 ,Intel Core i5,3GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Dell Inspiron 3476 98%,Dell,$375 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp ProBook 430 G3 98%​  ​មានតម្លៃពិសេស,HP,$245 ,Intel Core i3,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude E5430 98%,Dell,$165 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Asus VivoBook X542.3,Asus,$280 ,Intel Core i3,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Lenovo ThinkPad E520 98%,Itronix,$180 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell latitude 7290 98%,Dell,$225 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"12"" - 12.9"""
Lenovo Think Pad E550 98%,Lenovo,$275 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Dell Latitude 3570,Dell,$320 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Hp ProBook 450 G3 98%,HP,$220 ,Intel Core i3,4GB,2GB & Under,250GB - 256GB,"15"" - 15.9"""
Asus X540UP 98%,Asus,$355 ,Intel Core i5,8GB,2GB & Under,128GB & Under,"15"" - 15.9"""
Hp Pro Book 430 G2 99%,HP,$245 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"13"" - 13.9"""
Lenovo ThinkPad E431 98%   ,Lenovo,$200 ,Intel Core i5,4GB,2GB & Under,128GB & Under,"14"" - 14.9"""
Lenovo T470S Secondhand USA 99%,Lenovo,$380 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"14"" - 14.9"""
ស្អាត តម្លៃល្អ ធានាគុណភាព,Fujitsu,$175 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"15"" - 15.9"""
MacBook Air 13” 2019/Core i5/8GB/128GB,Apple,$544 ,Intel Core i5,8GB,Integrated,128GB & Under,"13"" - 13.9"""
លក់ MacBook 2010,Apple,$150 ,Intel Core 2,4GB,4GB,250GB - 256GB,"13"" - 13.9"""
​ Microsoft surface Laptop Core i5 6th (Promotion),Microsoft,$485 ,Intel Core i5,8GB,2GB & Under,250GB - 256GB,"10.9"" & Under"
Model Lenovo V14 14”,Lenovo,$289 ,Other,8GB,2GB & Under,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X260 6th RAM 4GB SSD 128GB,Lenovo,$275 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro 15.4” inch Late 2018 Touch Bar 99% ,Apple,"$1,250 ",Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Dell Latitude E5440 Core i5 RAM 8GB SSD 256GB,Dell,$195 ,Intel Core i5,8GB,4GB,250GB - 256GB,"14"" - 14.9"""
 Lenovo ThinkPad X230 (3rd Generation) Grade A ,Lenovo,$135 ,Intel Core i5,4GB,4GB,128GB & Under,"12"" - 12.9"""
HP EliteBook 820 G2 (5th Generation) 8GB 256GB i5,HP,$215 ,Intel Core i5,8GB,4GB,250GB - 256GB,"12"" - 12.9"""
Dell Latitude 7390 2 in 1 99%  Touchscreen 13.3”inch FHD,Dell,$455 ,Intel Core i7,16GB,4GB,250GB - 256GB,"13"" - 13.9"""
លក់កុំព្យូទ័រ laptop ផ្ទាល់ខ្លួន,Dell,$360 ,Intel Core i5,8GB,2GB & Under,1TB,"14"" - 14.9"""
MacBook Pro 15inch 2019 CPU core i9 99% Radeon Pro 560X 4 GB,Apple,$980 ,Intel Core i9,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
Asus X415MA 14”FHD 1080,Asus,$299 ,Intel Celeron,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
Dell Latitude E5480 14”,Dell,$299 ,Intel Core i5,8GB,Integrated,250GB - 256GB,"14"" - 14.9"""
"Dell Latitude E6520$E6420 14”,15.6”",Dell,$175 ,Intel Core i5,4GB,Integrated,250GB - 256GB,"14"" - 14.9"""
MacBook 2017 i7 $700,Apple,$700 ,Intel Core i7,16GB,4GB,500GB - 512GB,"15"" - 15.9"""
ឥវ៉ាន់នៅស្អាតលក់ប្រញាប់លុយ,Acer,$125 ,Intel Celeron,4GB,4GB,128GB & Under,"12"" - 12.9"""
MacBook Pro ថ្មីថ្មោង,Apple,$490 ,Intel Core i5,8GB,Integrated,500GB - 512GB,"15"" - 15.9"""
